RecordType,RouteID,RouteName,RouteStatus,RouteColorCode,FetchedDate,FetchedTime
Bus,1,Bronzeville/Union Station,Normal Service,ffffff,8/29/2026,21:00:03
Bus,2,Hyde Park Express,Planned Reroute,ffffff,8/29/2026,21:00:03
Bus,3,King Drive,Added Service,565a5c,8/29/2026,21:00:03
Bus,4,Cottage Grove,Planned Reroute,414145,8/29/2026,21:00:03
Bus,X4,Cottage Grove Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,N5,South Shore Night Bus,Planned Reroute,ffffff,8/29/2026,21:00:03
Bus,6,Jackson Park Express,Planned Reroute,b71234,8/29/2026,21:00:03
Bus,7,Harrison,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,8,Halsted,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,8A,South Halsted,Normal Service,565a5c,8/29/2026,21:00:03
Bus,9,Ashland,Normal Service,565a5c,8/29/2026,21:00:03
Bus,X9,Ashland Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,10,Obama Presidential Center/Museum of Science & Industry Express,Planned Reroute,b71234,8/29/2026,21:00:03
Bus,11,Lincoln,Bus Stop Relocation,565a5c,8/29/2026,21:00:03
Bus,12,Roosevelt,Bus Stop Note,565a5c,8/29/2026,21:00:03
Bus,J14,Jeffery Jump,Planned Reroute,0065BD,8/29/2026,21:00:03
Bus,15,Jeffery Local,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,18,16th-18th,Minor Delays / Reroute,565a5c,8/29/2026,21:00:03
Bus,19,United Center Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,20,Madison,Bus Stop Note,414145,8/29/2026,21:00:03
Bus,21,Cermak,Normal Service,565a5c,8/29/2026,21:00:03
Bus,22,Clark,Bus Stop Note,565a5c,8/29/2026,21:00:03
Bus,24,Wentworth,Bus Stop Note,565a5c,8/29/2026,21:00:03
Bus,26,South Shore Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,28,Stony Island,Normal Service,565a5c,8/29/2026,21:00:03
Bus,29,State,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,30,South Chicago,Normal Service,565a5c,8/29/2026,21:00:03
Bus,31,31st,Normal Service,565a5c,8/29/2026,21:00:03
Bus,34,South Michigan,Normal Service,414145,8/29/2026,21:00:03
Bus,35,31st/35th,Added Service,414145,8/29/2026,21:00:03
Bus,36,Broadway,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,37,Sedgwick,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,39,Pershing,Normal Service,565a5c,8/29/2026,21:00:03
Bus,43,43rd,Normal Service,565a5c,8/29/2026,21:00:03
Bus,44,Wallace/Racine,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,47,47th,Normal Service,414145,8/29/2026,21:00:03
Bus,48,South Damen,Normal Service,ffffff,8/29/2026,21:00:03
Bus,49,Western,Planned Reroute,414145,8/29/2026,21:00:03
Bus,49B,North Western,Bus Stop Relocation,565a5c,8/29/2026,21:00:03
Bus,X49,Western Express,Planned Reroute,ffffff,8/29/2026,21:00:03
Bus,50,Damen,Bus Stop Note,565a5c,8/29/2026,21:00:03
Bus,51,51st,Normal Service,565a5c,8/29/2026,21:00:03
Bus,52,Kedzie,Normal Service,565a5c,8/29/2026,21:00:03
Bus,52A,South Kedzie,Normal Service,565a5c,8/29/2026,21:00:03
Bus,53,Pulaski,Normal Service,414145,8/29/2026,21:00:03
Bus,53A,South Pulaski,Normal Service,565a5c,8/29/2026,21:00:03
Bus,54,Cicero,Normal Service,414145,8/29/2026,21:00:03
Bus,54A,North Cicero/Skokie Blvd.,Normal Service,ffffff,8/29/2026,21:00:03
Bus,54B,South Cicero,Normal Service,565a5c,8/29/2026,21:00:03
