RecordID,RecordType,RouteID,RouteName,RouteStatus,RouteColorCode,FetchedDate,FetchedTime
1,Bus,1,Bronzeville/Union Station,Normal Service,ffffff,8/22/2026,16:15:02
2,Bus,2,Hyde Park Express,Planned Reroute,ffffff,8/22/2026,16:15:02
3,Bus,3,King Drive,Normal Service,565a5c,8/22/2026,16:15:02
4,Bus,4,Cottage Grove,Planned Reroute,414145,8/22/2026,16:15:02
5,Bus,X4,Cottage Grove Express,Normal Service,ffffff,8/22/2026,16:15:02
6,Bus,N5,South Shore Night Bus,Minor Delays / Reroute,ffffff,8/22/2026,16:15:02
7,Bus,6,Jackson Park Express,Planned Reroute,b71234,8/22/2026,16:15:02
8,Bus,7,Harrison,Planned Reroute,565a5c,8/22/2026,16:15:02
9,Bus,8,Halsted,Planned Reroute,565a5c,8/22/2026,16:15:02
10,Bus,8A,South Halsted,Normal Service,565a5c,8/22/2026,16:15:02
11,Bus,9,Ashland,Normal Service,565a5c,8/22/2026,16:15:02
12,Bus,X9,Ashland Express,Normal Service,ffffff,8/22/2026,16:15:02
13,Bus,10,Obama Presidential Center/Museum of Science & Industry Express,Planned Reroute,b71234,8/22/2026,16:15:02
14,Bus,11,Lincoln,Planned Reroute,565a5c,8/22/2026,16:15:02
15,Bus,12,Roosevelt,Normal Service,565a5c,8/22/2026,16:15:02
16,Bus,J14,Jeffery Jump,Minor Delays / Reroute,0065BD,8/22/2026,16:15:02
17,Bus,15,Jeffery Local,Minor Delays / Reroute,565a5c,8/22/2026,16:15:02
18,Bus,18,16th-18th,Normal Service,565a5c,8/22/2026,16:15:02
19,Bus,19,United Center Express,Planned Reroute,ffffff,8/22/2026,16:15:02
20,Bus,20,Madison,Planned Reroute,414145,8/22/2026,16:15:02
21,Bus,21,Cermak,Normal Service,565a5c,8/22/2026,16:15:02
22,Bus,22,Clark,Bus Stop Note,565a5c,8/22/2026,16:15:02
23,Bus,24,Wentworth,Bus Stop Note,565a5c,8/22/2026,16:15:02
24,Bus,26,South Shore Express,Normal Service,ffffff,8/22/2026,16:15:02
25,Bus,28,Stony Island,Normal Service,565a5c,8/22/2026,16:15:02
26,Bus,29,State,Planned Reroute,565a5c,8/22/2026,16:15:02
27,Bus,30,South Chicago,Normal Service,565a5c,8/22/2026,16:15:02
28,Bus,31,31st,Normal Service,565a5c,8/22/2026,16:15:02
29,Bus,34,South Michigan,Normal Service,414145,8/22/2026,16:15:02
30,Bus,35,31st/35th,Added Service,565a5c,8/22/2026,16:15:02
31,Bus,36,Broadway,Planned Reroute,565a5c,8/22/2026,16:15:02
32,Bus,37,Sedgwick,Planned Reroute,565a5c,8/22/2026,16:15:02
33,Bus,39,Pershing,Normal Service,565a5c,8/22/2026,16:15:02
34,Bus,43,43rd,Normal Service,565a5c,8/22/2026,16:15:02
35,Bus,44,Wallace/Racine,Planned Reroute,565a5c,8/22/2026,16:15:02
36,Bus,47,47th,Normal Service,414145,8/22/2026,16:15:02
37,Bus,48,South Damen,Normal Service,ffffff,8/22/2026,16:15:02
38,Bus,49,Western,Planned Reroute,414145,8/22/2026,16:15:02
39,Bus,49B,North Western,Planned Reroute,565a5c,8/22/2026,16:15:02
40,Bus,X49,Western Express,Planned Reroute,ffffff,8/22/2026,16:15:02
